230, 361, 0
195, 100, 20
48, 303, 39
322, 24, 54
196, 363, 56
227, 47, 57
358, 38, 71
230, 46, 84
383, 213, 98
398, 190, 103
42, 48, 104
144, 330, 107
361, 364, 114
47, 318, 139
186, 316, 143
378, 185, 151
64, 42, 167
4, 25, 172
48, 79, 174
97, 10, 192
149, 55, 193
332, 360, 210
156, 70, 211
399, 85, 215
198, 23, 219
97, 55, 223
397, 360, 226
40, 365, 229
364, 151, 247
402, 389, 254
169, 19, 255
182, 334, 261
69, 132, 281
366, 346, 288
338, 122, 308
180, 385, 311
96, 246, 323
307, 268, 328
346, 364, 337
88, 223, 365
175, 403, 389
171, 339, 411
97, 4, 417
222, 29, 421
336, 373, 437
316, 353, 443
329, 68, 463
109, 351, 464
395, 208, 466
160, 357, 469
235, 312, 486
72, 79, 490
389, 276, 491
213, 30, 504
319, 388, 528
59, 230, 531
55, 133, 537
381, 56, 547
88, 285, 565
89, 132, 567
76, 361, 581
48, 332, 593
391, 5, 609
296, 39, 650
365, 246, 654
386, 179, 656
84, 78, 661
78, 6, 668
148, 308, 676
268, 320, 682
82, 78, 686
70, 399, 692
324, 20, 704
361, 297, 714
58, 145, 742
46, 336, 760
351, 394, 770
114, 398, 803
91, 31, 821
398, 166, 830
401, 126, 848
84, 342, 849
389, 264, 851
190, 399, 862
381, 109, 872
13, 62, 874
354, 200, 878
233, 10, 883
29, 263, 884
294, 23, 913
401, 7, 914
389, 79, 922
315, 284, 946
12, 346, 957
240, 74, 977
201, 325, 979
301, 306, 989
