309, 69, 0
95, 70, 3
388, 32, 7
91, 311, 10
308, 245, 14
379, 200, 30
102, 126, 33
37, 73, 76
211, 68, 148
108, 395, 168
185, 72, 173
29, 171, 191
124, 387, 198
288, 83, 212
72, 160, 214
97, 181, 215
118, 388, 217
99, 12, 231
371, 6, 233
263, 306, 249
317, 90, 256
9, 199, 273
378, 361, 287
13, 34, 294
125, 392, 299
86, 136, 314
377, 256, 329
325, 15, 335
27, 330, 361
103, 326, 362
36, 17, 366
259, 319, 368
160, 308, 377
336, 36, 379
163, 76, 384
59, 287, 387
224, 55, 393
87, 114, 400
199, 24, 410
241, 310, 412
304, 49, 428
364, 247, 437
30, 376, 481
360, 279, 498
253, 41, 533
183, 373, 542
331, 78, 553
29, 140, 554
365, 293, 565
170, 46, 569
52, 6, 602
204, 310, 605
386, 81, 620
73, 225, 626
392, 106, 634
4, 106, 659
191, 83, 697
19, 281, 703
43, 306, 706
35, 323, 712
211, 378, 733
179, 47, 743
394, 323, 766
67, 202, 779
118, 96, 784
219, 353, 787
161, 377, 790
31, 229, 794
51, 92, 805
348, 264, 814
55, 278, 818
108, 99, 819
327, 103, 820
379, 182, 821
218, 83, 831
258, 70, 841
328, 142, 860
4, 311, 861
96, 108, 863
242, 76, 865
375, 157, 868
89, 229, 870
65, 367, 873
137, 306, 907
44, 388, 939
70, 371, 954
70, 179, 956
63, 336, 961
266, 379, 967
33, 219, 972
273, 324, 980
148, 316, 988
