239, 307, 24
162, 96, 26
101, 293, 30
75, 230, 46
101, 17, 50
25, 122, 54
77, 84, 61
351, 102, 72
12, 236, 74
72, 111, 75
347, 186, 78
213, 400, 90
323, 325, 105
81, 379, 109
227, 40, 110
352, 256, 114
324, 91, 115
92, 75, 129
176, 94, 130
307, 215, 136
317, 353, 141
314, 168, 153
104, 335, 170
297, 394, 171
381, 242, 187
347, 108, 188
403, 118, 197
32, 239, 206
240, 360, 208
346, 142, 210
213, 10, 212
31, 184, 267
76, 157, 279
331, 308, 297
358, 234, 317
197, 81, 330
347, 271, 343
64, 56, 352
376, 186, 373
4, 349, 385
159, 31, 387
339, 248, 398
246, 321, 404
51, 149, 422
92, 239, 426
368, 25, 437
60, 190, 443
223, 37, 444
261, 89, 458
29, 8, 462
62, 313, 467
350, 132, 473
92, 203, 475
206, 330, 476
102, 271, 481
387, 382, 483
178, 78, 491
178, 59, 493
290, 80, 524
397, 210, 536
6, 175, 550
320, 45, 557
192, 47, 563
120, 386, 583
65, 29, 589
329, 155, 605
46, 293, 612
337, 54, 615
218, 27, 623
374, 173, 645
258, 312, 654
96, 41, 658
357, 72, 666
298, 346, 670
349, 146, 676
361, 204, 685
364, 300, 697
284, 33, 706
71, 58, 712
338, 130, 715
10, 268, 717
152, 318, 729
94, 140, 743
18, 57, 774
187, 15, 780
362, 190, 783
319, 295, 791
98, 174, 795
88, 105, 801
62, 63, 806
148, 59, 816
103, 138, 817
21, 276, 823
256, 5, 846
377, 9, 849
286, 51, 850
4, 215, 866
351, 394, 878
57, 11, 885
23, 46, 911
42, 112, 914
360, 297, 918
310, 195, 937
403, 176, 952
39, 224, 955
21, 326, 959
49, 206, 975
